Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
NL,"Emmerhout 215, Emmen / Prov. Drenthe, NL",MBA A,1700-1600,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,>100,NA,x,xxx,xxxx,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Hordeum vulgare var. Nudum,Hordeum vulgare nudum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Zijderveld/Prov. Zuid-Holland, NL",MBA A,1800-1600,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,<=50,NA,x,x,xx,NA,NA
